name,clType,pmra_min,pmra_max,pmdec_min,pmdec_max,par_min,par_max,tpx,tpy,noise_cutoff
IC4651,Open,-2.9,-2,-5.5,-4.6,0.8,1.5,0.7,12.8,0.8
M3,Globular,-1,1,-3.5,-2,0,0.1,-99,-99,2
M5,Globular,-1,9,-15,-5,0.15,0.2,0.5,18,-99
M12,Globular,-0.7,0.3,-7.25,-6.25,0.03,0.17,0.8,18,1
M15,Globular,-1.2,0.1,-4.5,-3,0.08,0.12,-99,-99,2
M23,Open,-2.5,-0.5,-7,-5,1.4,1.7,-99,-99,-99
M25,Open,-1,1,-3,-1,1.43,1.67,-99,-99,-99
M26,Open,-2.2,-1.3,-1.4,-0.4,0.55,0.75,-99,-99,-99
M35,Open,1.95,2.75,-3.3,-2.5,0.95,1.3,0.14,11.6,1
M39,Open,-9,-5,-23,-17,2.7,4.5,-0.05,8.6,0.8
M46,Open,-4.25,-3.45,-0.1,0.7,0.5,0.71,0.1,12.5,1
M47,Open,-7.5,-6.5,0.4,1.4,1.88,2.23,-0.05,10,1
M48,Open,-1.75,-0.8,0.62,1.5,1,2,0.05,10.8,1
M50,Open,-1.2,-0.1,-1,-0.25,0.95,1.18,0.1,12,0.8
M52,Open,-99,-99,-99,-99,0.55,0.65,-99,-99,1
M53,Globular,-0.4,0.2,-1.6,-1,0.05,0.08,-99,-99,1
M67,Open,-12.25,-9.75,-4.25,-1.75,1.03,1.23,0.69,13.5,0.8
M71,Globular,-4.5,-2.5,-3.5,-2,0.2,0.28,-99,-99,-99
NGC188,Open,-2.7,-1.9,-1.4,-0.6,0.44,0.56,0.8,15.25,1
NGC752,Open,9.3,10.3,-12.2,-11.2,2.05,2.4,0.48,11,1
NGC2158,Open,-0.4,0,-2.16,-1.8,0.16,0.26,1,16.5,1
NGC2204,Open,-0.65,-0.45,1.85,2.05,0.19,0.22,0.5,15.7,1
NGC2301,Open,-1.8,-0.8,-2.7,-1.7,0.81,1.39,-0.1,10.5,1
NGC2355,Open,-4.1,-3.7,-1.2,-0.8,0.4,0.6,0.45,13.5,0.8
NGC2360,Open,0.1,0.7,5.35,5.9,0.5,1,0.45,12,1
NGC6426,Globular,-2.5,-1,-3.5,-2.5,0.05,0.1,-99,-99,-99
NGC6633,Open,0.01,2,-3,-1,2.5,3.7,0.3,10,1
NGC6791,Open,-0.6,-0.25,-2.5,-2,0.2,0.3,1,17.3,1
NGC6934,Globular,-3.2,-2,-5.2,-4,0.05,0.5,-99,-99,-99
NGC7789,Open,7.6,9.2,-3.9,-2.2,0.1,3.5,-99,-99,-99
Teutsch2,Open,-99,-99,-99,-99,0.15,0.18,-99,-99,1
